model,source,target,regime,T,ece_temp,ece_platt,ece_raw
bge-reranker,LODO,trec-covid,lodo,3.242319056466696,0.06949868343204639,0.13366884770785278,0.22759934087949446
bge-reranker,trec-dl-2019,trec-dl-2019,oracle,3.2930198261318417,0.14513211494920727,0.030534050968318942,0.2067809871810667
bge-reranker,dbpedia-entity,trec-dl-2019,single,2.9622344136277925,0.1432713447033661,0.04001759316912451,0.2067809871810667
bge-reranker,trec-covid,trec-dl-2019,single,4.386437927254441,0.14134356916493573,0.15931312812727652,0.2067809871810667
bge-reranker,trec-dl-2020,trec-dl-2019,single,3.374813469346393,0.14406951232865803,0.1534260233774404,0.2067809871810667
bge-reranker,webis-touche2020,trec-dl-2019,single,6.78039382151909,0.16312789635252978,0.4104498124092642,0.2067809871810667
bge-reranker,LODO,trec-dl-2019,lodo,3.4435560557726457,0.14479338136361875,0.03117357527740816,0.2067809871810667
bge-reranker,trec-dl-2020,trec-dl-2020,oracle,3.374813469346393,0.28573513322162913,0.019510214046954452,0.2618549014924856
bge-reranker,dbpedia-entity,trec-dl-2020,single,2.9622344136277925,0.28229545461845323,0.17480568885719225,0.2618549014924856
bge-reranker,trec-covid,trec-dl-2020,single,4.386437927254441,0.2927769727158454,0.31072154569752347,0.2618549014924856
bge-reranker,trec-dl-2019,trec-dl-2020,single,3.2930198261318417,0.28508155720883005,0.14707157608219928,0.2618549014924856
bge-reranker,webis-touche2020,trec-dl-2020,single,6.78039382151909,0.30458983583975296,0.573833621450323,0.2618549014924856
bge-reranker,LODO,trec-dl-2020,lodo,3.4286057782223387,0.2866648314687785,0.19767922296878554,0.2618549014924856
bge-reranker,webis-touche2020,webis-touche2020,oracle,6.78039382151909,0.23582532444277648,0.06837212649720384,0.29223438883024566
bge-reranker,dbpedia-entity,webis-touche2020,single,2.9622344136277925,0.24680204291201235,0.3383408316275751,0.29223438883024566
bge-reranker,trec-covid,webis-touche2020,single,4.386437927254441,0.24325078247853044,0.23223072378533194,0.29223438883024566
bge-reranker,trec-dl-2019,webis-touche2020,single,3.2930198261318417,0.2476535312737684,0.3528644640892093,0.29223438883024566
