model,dataset,method,tau,precision,coverage,n_accepted
minilm-l6,dbpedia-entity,platt,0.74,0.8529411764705882,0.10368111522544109,476
minilm-l6,dbpedia-entity,platt,0.75,0.8587699316628702,0.09562186887388369,439
minilm-l6,dbpedia-entity,platt,0.76,0.8796068796068796,0.08865170986713135,407
minilm-l6,dbpedia-entity,platt,0.77,0.8888888888888888,0.07841428882596384,360
minilm-l6,dbpedia-entity,platt,0.78,0.9021406727828746,0.0712263123502505,327
minilm-l6,dbpedia-entity,platt,0.79,0.9094076655052264,0.06251361359181007,287
minilm-l6,dbpedia-entity,platt,0.8,0.9243027888446215,0.05467218470921368,251
minilm-l6,dbpedia-entity,platt,0.81,0.9436619718309859,0.046395120888695275,213
minilm-l6,dbpedia-entity,platt,0.8200000000000001,0.9597701149425287,0.03790023959921586,174
minilm-l6,dbpedia-entity,platt,0.8300000000000001,0.9655172413793104,0.03158353299934655,145
minilm-l6,dbpedia-entity,platt,0.8400000000000001,0.967479674796748,0.026791548682204312,123
minilm-l6,dbpedia-entity,platt,0.85,0.9560439560439561,0.01982138967545197,91
minilm-l6,dbpedia-entity,platt,0.86,0.9552238805970149,0.014593770420387715,67
minilm-l6,dbpedia-entity,platt,0.87,0.9545454545454546,0.00958396863428447,44
minilm-l6,dbpedia-entity,platt,0.88,1.0,0.006752341537791331,31
minilm-l6,dbpedia-entity,platt,0.89,,0.00326726203441516,15
minilm-l6,dbpedia-entity,platt,0.9,,0.0015247222827270747,7
minilm-l6,dbpedia-entity,platt,0.91,,0.0,0
minilm-l6,dbpedia-entity,platt,0.92,,0.0,0
minilm-l6,dbpedia-entity,platt,0.93,,0.0,0
minilm-l6,dbpedia-entity,platt,0.9400000000000001,,0.0,0
minilm-l6,dbpedia-entity,platt,0.9500000000000001,,0.0,0
minilm-l6,dbpedia-entity,platt,0.9600000000000001,,0.0,0
minilm-l6,dbpedia-entity,platt,0.97,,0.0,0
minilm-l6,dbpedia-entity,platt,0.98,,0.0,0
