model,dataset,method,tau,precision,coverage,n_accepted,n_test,gap,prevalence
minilm-l12,dbpedia-entity,iso,0.8,0.9282296650717703,0.04552385101285123,209,4591,-0.12822966507177025,0.34698322805489
minilm-l12,dbpedia-entity,iso,0.9,0.9473684210526315,0.020692659551296014,95,4591,-0.047368421052631504,0.34698322805489
minilm-l12,dbpedia-entity,temp_lodo,0.5,0.4882234185733513,0.6473535177521237,2972,4591,0.011776581426648725,0.34698322805489
minilm-l12,dbpedia-entity,temp_lodo,0.6,0.5887984681665869,0.4550206926595513,2089,4591,0.011201531833413103,0.34698322805489
minilm-l12,dbpedia-entity,temp_lodo,0.7,0.7487019730010385,0.2097582226094533,963,4591,-0.04870197300103851,0.34698322805489
minilm-l12,dbpedia-entity,temp_lodo,0.8,1.0,0.007623611413635374,35,4591,-0.19999999999999996,0.34698322805489
minilm-l12,dbpedia-entity,temp_lodo,0.9,,0.0,0,4591,,0.34698322805489
minilm-l12,trec-covid,raw,0.5,0.6943111720356409,0.8394706559263522,1459,1738,-0.19431117203564086,0.6242807825086306
minilm-l12,trec-covid,raw,0.6,0.6988795518207283,0.8216340621403913,1428,1738,-0.09887955182072827,0.6242807825086306
minilm-l12,trec-covid,raw,0.7,0.7045291157440691,0.8003452243958573,1391,1738,-0.004529115744069112,0.6242807825086306
minilm-l12,trec-covid,raw,0.8,0.7097722263041881,0.783084004602992,1361,1738,0.09022777369581192,0.6242807825086306
minilm-l12,trec-covid,raw,0.9,0.7261247040252565,0.7289988492520139,1267,1738,0.1738752959747435,0.6242807825086306
minilm-l12,trec-covid,temp,0.5,0.6943111720356409,0.8394706559263522,1459,1738,-0.19431117203564086,0.6242807825086306
minilm-l12,trec-covid,temp,0.6,0.7238169123351436,0.7416570771001151,1289,1738,-0.12381691233514358,0.6242807825086306
minilm-l12,trec-covid,temp,0.7,0.7823886639676113,0.5684695051783659,988,1738,-0.08238866396761135,0.6242807825086306
minilm-l12,trec-covid,temp,0.8,0.8621794871794872,0.17951668584579977,312,1738,-0.06217948717948718,0.6242807825086306
minilm-l12,trec-covid,temp,0.9,,0.0,0,1738,,0.6242807825086306
minilm-l12,trec-covid,platt,0.5,0.7078488372093024,0.7917146144994246,1376,1738,-0.20784883720930236,0.6242807825086306
minilm-l12,trec-covid,platt,0.6,0.7459915611814346,0.6818181818181818,1185,1738,-0.14599156118143464,0.6242807825086306
minilm-l12,trec-covid,platt,0.7,0.7897142857142857,0.503452243958573,875,1738,-0.08971428571428575,0.6242807825086306
minilm-l12,trec-covid,platt,0.8,0.8596491228070176,0.16398158803222093,285,1738,-0.05964912280701751,0.6242807825086306
minilm-l12,trec-covid,platt,0.9,,0.0017261219792865361,3,1738,,0.6242807825086306
minilm-l12,trec-covid,iso,0.5,0.7166416791604198,0.7675489067894131,1334,1738,-0.21664167916041976,0.6242807825086306
minilm-l12,trec-covid,iso,0.6,0.7788649706457925,0.5880322209436134,1022,1738,-0.17886497064579254,0.6242807825086306
minilm-l12,trec-covid,iso,0.7,0.7897142857142857,0.503452243958573,875,1738,-0.08971428571428575,0.6242807825086306
minilm-l12,trec-covid,iso,0.8,0.8503937007874016,0.21921749136939012,381,1738,-0.050393700787401574,0.6242807825086306
minilm-l12,trec-covid,iso,0.9,0.911504424778761,0.06501726121979287,113,1738,-0.011504424778761013,0.6242807825086306
minilm-l12,trec-covid,temp_lodo,0.5,0.6943111720356409,0.8394706559263522,1459,1738,-0.19431117203564086,0.6242807825086306
minilm-l12,trec-covid,temp_lodo,0.6,0.7563098346388164,0.6611047180667434,1149,1738,-0.15630983463881643,0.6242807825086306
minilm-l12,trec-covid,temp_lodo,0.7,0.856,0.21576524741081704,375,1738,-0.15600000000000003,0.6242807825086306
minilm-l12,trec-covid,temp_lodo,0.8,,0.0,0,1738,,0.6242807825086306
minilm-l12,trec-covid,temp_lodo,0.9,,0.0,0,1738,,0.6242807825086306
minilm-l12,trec-dl-2019,raw,0.5,0.46279234585400425,0.6118820468343452,1411,2306,0.03720765414599575,0.34952298352124894
minilm-l12,trec-dl-2019,raw,0.6,0.475482912332838,0.5836947094535994,1346,2306,0.12451708766716196,0.34952298352124894
minilm-l12,trec-dl-2019,raw,0.7,0.48829953198127923,0.5559410234171726,1282,2306,0.21170046801872072,0.34952298352124894
minilm-l12,trec-dl-2019,raw,0.8,0.5041736227045075,0.5195143104943626,1198,2306,0.29582637729549255,0.34952298352124894
minilm-l12,trec-dl-2019,raw,0.9,0.524170616113744,0.4575021682567216,1055,2306,0.375829383886256,0.34952298352124894
minilm-l12,trec-dl-2019,temp,0.5,0.46279234585400425,0.6118820468343452,1411,2306,0.03720765414599575,0.34952298352124894
minilm-l12,trec-dl-2019,temp,0.6,0.544973544973545,0.4098005203816132,945,2306,0.05502645502645498,0.34952298352124894
minilm-l12,trec-dl-2019,temp,0.7,0.71875,0.194275802254987,448,2306,-0.018750000000000044,0.34952298352124894
minilm-l12,trec-dl-2019,temp,0.8,,0.010841283607979185,25,2306,,0.34952298352124894
minilm-l12,trec-dl-2019,temp,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l12,trec-dl-2019,platt,0.5,0.64,0.2710320901994796,625,2306,-0.14,0.34952298352124894
minilm-l12,trec-dl-2019,platt,0.6,0.7559681697612732,0.1634865568083261,377,2306,-0.15596816976127326,0.34952298352124894
minilm-l12,trec-dl-2019,platt,0.7,0.7923076923076923,0.05637467476149176,130,2306,-0.09230769230769231,0.34952298352124894
minilm-l12,trec-dl-2019,platt,0.8,,0.0004336513443191674,1,2306,,0.34952298352124894
minilm-l12,trec-dl-2019,platt,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l12,trec-dl-2019,iso,0.5,0.6672694394213382,0.23980919340849957,553,2306,-0.1672694394213382,0.34952298352124894
minilm-l12,trec-dl-2019,iso,0.6,0.743142144638404,0.17389418907198612,401,2306,-0.14314214463840402,0.34952298352124894
minilm-l12,trec-dl-2019,iso,0.7,0.7841726618705036,0.12055507372072853,278,2306,-0.08417266187050365,0.34952298352124894
minilm-l12,trec-dl-2019,iso,0.8,0.782608695652174,0.1196877710320902,276,2306,0.017391304347826098,0.34952298352124894
minilm-l12,trec-dl-2019,iso,0.9,,0.0004336513443191674,1,2306,,0.34952298352124894
minilm-l12,trec-dl-2019,temp_lodo,0.5,0.46279234585400425,0.6118820468343452,1411,2306,0.03720765414599575,0.34952298352124894
minilm-l12,trec-dl-2019,temp_lodo,0.6,0.5421436004162331,0.41673894189071986,961,2306,0.05785639958376687,0.34952298352124894
minilm-l12,trec-dl-2019,temp_lodo,0.7,0.7019027484143763,0.20511708586296618,473,2306,-0.0019027484143763207,0.34952298352124894
minilm-l12,trec-dl-2019,temp_lodo,0.8,0.7222222222222222,0.015611448395490026,36,2306,0.07777777777777783,0.34952298352124894
minilm-l12,trec-dl-2019,temp_lodo,0.9,,0.0,0,2306,,0.34952298352124894
minilm-l12,trec-dl-2020,raw,0.5,0.26804733727810653,0.5944424903271193,1690,2843,0.23195266272189347,0.16848399577910658
minilm-l12,trec-dl-2020,raw,0.6,0.2790841584158416,0.5684136475553992,1616,2843,0.32091584158415837,0.16848399577910658
minilm-l12,trec-dl-2020,raw,0.7,0.28414948453608246,0.5459022159690468,1552,2843,0.4158505154639175,0.16848399577910658
minilm-l12,trec-dl-2020,raw,0.8,0.29637234770704995,0.513893774182202,1461,2843,0.5036276522929501,0.16848399577910658
minilm-l12,trec-dl-2020,raw,0.9,0.31298299845440497,0.4551530073865635,1294,2843,0.5870170015455951,0.16848399577910658
minilm-l12,trec-dl-2020,temp,0.5,0.26804733727810653,0.5944424903271193,1690,2843,0.23195266272189347,0.16848399577910658
minilm-l12,trec-dl-2020,temp,0.6,0.4137055837563452,0.27717200140696446,788,2843,0.18629441624365478,0.16848399577910658
minilm-l12,trec-dl-2020,temp,0.7,,0.009145269081955681,26,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,temp,0.8,,0.0,0,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,temp,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,platt,0.5,0.5630252100840336,0.08371438621174815,238,2843,-0.06302521008403361,0.16848399577910658
minilm-l12,trec-dl-2020,platt,0.6,0.6265060240963856,0.02919451283855083,83,2843,-0.026506024096385583,0.16848399577910658
minilm-l12,trec-dl-2020,platt,0.7,,0.0035174111853675696,10,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,platt,0.8,,0.0,0,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,platt,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,iso,0.5,0.5087719298245614,0.14034470629616602,399,2843,-0.00877192982456143,0.16848399577910658
minilm-l12,trec-dl-2020,iso,0.6,0.6530612244897959,0.01723531480830109,49,2843,-0.05306122448979589,0.16848399577910658
minilm-l12,trec-dl-2020,iso,0.7,0.6923076923076923,0.01371790362293352,39,2843,0.007692307692307665,0.16848399577910658
minilm-l12,trec-dl-2020,iso,0.8,,0.00809004572634541,23,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,iso,0.9,,0.006683081252198382,19,2843,,0.16848399577910658
minilm-l12,trec-dl-2020,temp_lodo,0.5,0.26804733727810653,0.5944424903271193,1690,2843,0.23195266272189347,0.16848399577910658
minilm-l12,trec-dl-2020,temp_lodo,0.6,0.3233387358184765,0.4340485402743581,1234,2843,0.2766612641815235,0.16848399577910658
minilm-l12,trec-dl-2020,temp_lodo,0.7,0.4318181818181818,0.2476257474498769,704,2843,0.26818181818181813,0.16848399577910658
minilm-l12,trec-dl-2020,temp_lodo,0.8,0.6,0.05276116778051354,150,2843,0.20000000000000007,0.16848399577910658
minilm-l12,trec-dl-2020,temp_lodo,0.9,,0.0,0,2843,,0.16848399577910658
minilm-l12,webis-touche2020,raw,0.5,0.8458646616541353,0.8364779874213837,266,318,-0.3458646616541353,0.779874213836478
minilm-l12,webis-touche2020,raw,0.6,0.8488372093023255,0.8113207547169812,258,318,-0.24883720930232556,0.779874213836478
minilm-l12,webis-touche2020,raw,0.7,0.8470588235294118,0.8018867924528302,255,318,-0.1470588235294118,0.779874213836478
minilm-l12,webis-touche2020,raw,0.8,0.8583333333333333,0.7547169811320755,240,318,-0.05833333333333324,0.779874213836478
