model,dataset,raw_ece,raw_mce,raw_brier,temp_T,temp_ece,temp_mce,temp_brier,temp_delta_ece,platt_coef,platt_intercept,platt_ece,platt_mce,platt_brier,platt_delta_ece,iso_ece,iso_mce,iso_brier,iso_delta_ece
bge-reranker,scifact,0.4349878934030765,0.9834967721253633,0.35673972531008313,11.683575660149751,0.4830125096260301,0.6971993446350098,0.24024504773193076,0.04802461622295362,,,,,,,0.0,0.0,0.0,-0.4349878934030765
bge-reranker,arguana,0.45310133882433085,0.9778871834278107,0.3398972849637519,8.696155581352686,0.48981648570317265,0.7490333616733551,0.24742718396280916,0.03671514687884181,,,,,,,0.0,0.0,0.0,-0.45310133882433085
bge-reranker,scidocs,0.7623428018488568,0.9045242303110352,0.6969276260901812,19.99999322022611,0.4881962345579163,0.5015984923596595,0.28510861799418574,-0.27414656729094056,0.4425138323060994,5.031795808173857,0.0064122121793710124,0.10958778858184814,0.045653918287749895,-0.7559305896694858,0.011675846549811504,0.25,0.04640303194337487,-0.7506669552990454
bge-reranker,webis-touche2020,0.29223438883024566,0.6459622884338553,0.2761842695044014,6.780392364206288,0.23582531708591387,0.8141297698020935,0.21569762703995127,-0.056409071744331796,0.15123323082721482,1.2777570967613123,0.06837216132092026,0.5589844584465027,0.15634068459826714,-0.22386222750932538,0.01860791444778439,0.13636363636363635,0.15302954683795741,-0.2736264743824613
bge-reranker,quora,0.05809958528942998,0.973024332895875,0.029604691922525146,1.095480621645755,0.0614789240003938,0.9639346301555634,0.02968357760169042,0.003379338710963818,,,,,,,0.0,0.0,0.0,-0.05809958528942998
bge-reranker,dbpedia-entity,0.15928595726187778,0.35504276868773665,0.20248970028836547,2.9622343874480865,0.10694710886464144,0.15690024636098454,0.17577662217339005,-0.052338848397236334,0.3345865241683539,-0.6367825352404972,0.027774460245336845,0.061100836611052534,0.16443079633302676,-0.13151149701654094,0.022058006497337343,0.7442810535430908,0.16433140517058312,-0.13722795076454042
electra-base,trec-covid,0.28495047029034926,0.6749163866043091,0.2898291430580768,4.770323497177745,0.08449390806660692,0.28265371347995516,0.2074670203785914,-0.20045656222374234,0.20961661889822047,0.00011720469419250522,0.08449831480638342,0.282677376523931,0.20746765659489283,-0.20045215548396583,0.025256465293115492,0.4454735815525055,0.19833943147201294,-0.2596940049972338
electra-base,nfcorpus,0.8459620491690726,0.9912570528686047,0.8179065273837295,19.999993323785407,0.5612917435954946,0.617516964673996,0.3176638362360144,-0.284670305573578,,,,,,,0.0,0.0,0.0,-0.8459620491690726
electra-base,fiqa,0.38690496019270043,0.980767197906971,0.3251875949003503,19.999993586232193,0.49329813006062984,0.6200728416442871,0.24559204745328284,0.1063931698679294,,,,,,,0.0,0.0,0.0,-0.38690496019270043
electra-base,scifact,0.204812323474544,0.9909789059311152,0.16167967109481307,5.377145892220841,0.40354662423565885,0.8737853169441223,0.18541118924447378,0.19873430076111484,,,,,,,0.0,0.0,0.0,-0.204812323474544
